gene1,gene2,score
IRF1,SLC6A9,-0.10403483
ZBTB25,negative,-0.104025026
BCORL1,negative,-0.104023635
CNN1,RUNX1T1,-0.10402233
negative,ETS2,-0.104018942
SLC6A9,GLB1L2,-0.103997333
OSR2,LYL1,-0.103941576
CLDN6,CSRNP1,-0.10393238
GCH1,UBASH3B,-0.103913354
GCH1,HOXB9,-0.103907288
TSC22D1,PTPN13,-0.103886039
IRF1,ELMSAN1,-0.103882457
ZBTB1,BCORL1,-0.103869637
C19orf26,OSR2,-0.103848331
negative,ARRDC3,-0.103825056
negative,MAP7D1,-0.103805396
BCL2L11,MAP2K3,-0.103794645
UBASH3A,negative,-0.103782059
CELF2,ZNF318,-0.103774362
EGR1,CSRNP1,-0.103709257
OSR2,TBX3,-0.103703269
KMT2A,negative,-0.103691357
SLC6A9,BCORL1,-0.103689189
MAP7D1,negative,-0.103674041
LYL1,SET,-0.103669418
UBASH3A,MAP4K5,-0.103658803
MCOLN3,BCL2L11,-0.103656018
negative,C19orf26,-0.103626267
STIL,negative,-0.103624711
TMSB4X,KMT2A,-0.103621758
PTPN9,negative,-0.10361998
CELF2,MAP4K5,-0.10360394
GLB1L2,TBX2,-0.103601414
ZNF318,CITED1,-0.103588186
GLB1L2,TGFBR2,-0.103534894
BCR,ZNF318,-0.103488153
negative,RUNX1T1,-0.103482425
SLC38A2,TBX2,-0.103478012
MAP7D1,ELMSAN1,-0.103475002
BCORL1,TBX3,-0.103458519
CITED1,TGFBR2,-0.10342678
TBX2,negative,-0.103422086
PLK4,PTPN9,-0.103391292
LYL1,ZBTB25,-0.103383845
BPGM,negative,-0.103375434
TSC22D1,negative,-0.10335988
PTPN9,negative,-0.103356819
UBASH3B,negative,-0.103341059
HOXB9,negative,-0.103317634
FOXA1,MAML2,-0.103308789
MCOLN3,PEG10,-0.10330108
GCH1,BPGM,-0.103255555
FOXF1,ZBTB25,-0.103245452
BCR,PLK4,-0.103242167
LYL1,KMT2A,-0.103227186
MAP4K5,RUNX1T1,-0.103203806
FOXL2,SLC6A9,-0.103202505
MAP2K6,MAPK1,-0.103199217
SET,ELMSAN1,-0.10313965
PIK3CB,MAP4K5,-0.103115658
negative,ISL2,-0.103115045
ELMSAN1,UBASH3B,-0.103108239
negative,CNNM4,-0.10310277
BCR,negative,-0.103087467
UBASH3B,SLC38A2,-0.103086152
MEIS1,negative,-0.103080356
BCORL1,KIF2C,-0.103077366
HK2,negative,-0.103060155
UBASH3B,MAP4K5,-0.103051298
PEG10,negative,-0.103042138
KMT2A,PTPN13,-0.103004628
ZBTB25,negative,-0.10299926
OSR2,BPGM,-0.102994174
negative,C19orf26,-0.102972982
ELMSAN1,C19orf26,-0.102945007
PTPN9,negative,-0.102940644
EGR1,MCOLN3,-0.102932983
SLC6A9,TSC22D1,-0.102906512
NCL,BCR,-0.102897936
MAP7D1,negative,-0.102897637
PTPN12,BCORL1,-0.102889529
SGK1,PTPN12,-0.102860118
SAMD1,KLF1,-0.102846617
ETS2,negative,-0.102838445
PTPN9,TMEM173,-0.102836025
ETS2,SLC38A2,-0.102832976
negative,BCORL1,-0.10282491
MAP2K6,IRF1,-0.102791502
GCH1,PLK4,-0.102764344
BCR,HK2,-0.102753511
LYL1,negative,-0.102743892
negative,CNNM4,-0.102697842
GLB1L2,BCR,-0.102687507
CBL,GCH1,-0.102684638
GCH1,PEG10,-0.102674685
SLC6A9,NCL,-0.102660328
PTPN12,MAP4K5,-0.102642017
PTPN9,TMSB4X,-0.102636645
BCORL1,PTPN13,-0.102631467
MAP7D1,negative,-0.102624194
HK2,ZNF318,-0.10260539
KMT2A,TBX3,-0.102589076
NCL,PTPN13,-0.10257093
RUNX1T1,EGR1,-0.102548623
SGK1,HK2,-0.102512503
PLK4,ZBTB25,-0.102479472
SLC6A9,MAP4K5,-0.102474695
negative,SET,-0.102474197
TMSB4X,FOXF1,-0.102470081
TBX3,MEIS1,-0.102460673
ZBTB1,negative,-0.102456113
MAP4K5,PLK4,-0.102440007
CNN1,negative,-0.102409998
ZNF318,negative,-0.10238149
PTPN13,NCL,-0.102366868
TMSB4X,LYL1,-0.102348923
MAP7D1,negative,-0.102347701
IGDCC3,ZC3HAV1,-0.102330478
HOXB9,negative,-0.102310377
negative,ZBTB25,-0.102295623
PTPN9,negative,-0.102290309
CNN1,PTPN13,-0.102287331
negative,UBASH3B,-0.102281836
negative,TSC22D1,-0.102281018
SLC38A2,HOXB9,-0.102260449
BCR,CBFA2T3,-0.102259527
CBL,GCH1,-0.102257555
negative,ETS2,-0.102234883
negative,PTPN9,-0.102233553
negative,HK2,-0.102224729
BCL2L11,PIK3CB,-0.102204903
PTPN13,ETS2,-0.102174083
KMT2A,BCR,-0.102159275
negative,ARRDC3,-0.102154143
TGFBR2,IRF1,-0.102152753
ISL2,negative,-0.102152198
CELF2,negative,-0.102150762
UBASH3A,negative,-0.102141578
negative,ZBTB25,-0.102126492
negative,HK2,-0.102096734
KLF1,HOXA13,-0.10207736
ZBTB25,CELF2,-0.102049858
FOXF1,negative,-0.102041902
CEBPB,BCR,-0.102030427
HK2,TBX2,-0.102012301
CSRNP1,OSR2,-0.102002901
SLC6A9,BPGM,-0.101984037
LYL1,KIF18B,-0.101978073
UBASH3A,PTPN13,-0.1019636
TMSB4X,PLK4,-0.10194952
negative,FOXL2,-0.101937454
TMSB4X,STIL,-0.101931715
negative,UBASH3B,-0.101899445
ZBTB25,PTPN12,-0.101891412
MEIS1,SLC6A9,-0.101872081
TMEM173,BPGM,-0.101862516
SAMD1,ZC3HAV1,-0.101859307
TMSB4X,C19orf26,-0.101849133
MAP7D1,TMSB4X,-0.10183859
GLB1L2,BCORL1,-0.101835787
S1PR2,MAP2K3,-0.101835371
CNN1,MCOLN3,-0.101823688
BCR,BCL2L11,-0.101798962
LYL1,TBX3,-0.101790978
TSC22D1,BCR,-0.101782854
negative,MAP7D1,-0.101770608
BCORL1,HK2,-0.101767723
TMEM173,MAP4K5,-0.101742297
PEG10,negative,-0.101740736
C19orf26,PLK4,-0.10173222
UBASH3B,negative,-0.10172919
RUNX1T1,ZBTB25,-0.101705732
ZBTB25,negative,-0.101679457
PTPN9,negative,-0.101672979
HK2,PIK3CB,-0.101669055
BCL2L11,negative,-0.101648885
BCR,OSR2,-0.101639017
MAP4K5,BCL2L11,-0.101618398
FOXF1,GCH1,-0.101605874
FOXF1,SGK1,-0.10156998
PLK4,TSC22D1,-0.101568519
SLC38A2,TBX3,-0.101567888
TMSB4X,TSC22D1,-0.101561851
negative,PTPN9,-0.101552688
CELF2,GCH1,-0.101545363
ZBTB25,TMEM173,-0.101525042
negative,GLB1L2,-0.101510544
LHX1,MAML2,-0.10150902
PTPN12,negative,-0.101508201
ETS2,negative,-0.101507694
negative,UBASH3B,-0.101491697
MAP2K6,PTPN1,-0.101486806
MAP4K5,LYL1,-0.101464232
ZC3HAV1,POU3F2,-0.101452789
SLC6A9,TSC22D1,-0.101449877
PTPN12,MCOLN3,-0.101445517
UBASH3A,MAP4K5,-0.101434201
KIF2C,BPGM,-0.101432688
MAPK1,TSC22D1,-0.101362747
UBASH3B,negative,-0.1013446
MEIS1,TMEM173,-0.101316091
PIK3CB,STIL,-0.101300043
ETS2,negative,-0.101280772
GLB1L2,ZBTB25,-0.101280729
TMSB4X,NCL,-0.10126911
negative,PEG10,-0.101264594
KLF1,EGR1,-0.101255592
ZNF318,TMEM173,-0.101207049
TBX3,MAPK1,-0.10117588
CBFA2T3,MAML2,-0.101169111
negative,LYL1,-0.101168513
ETS2,negative,-0.10115552
ZBTB25,RREB1,-0.101133108
TBX3,negative,-0.101126783
TBX3,PTPN12,-0.101118727
negative,CNN1,-0.101094412
PTPN13,ZBTB25,-0.1010905
UBASH3A,CELF2,-0.101031124
negative,MEIS1,-0.101005027
ETS2,BCR,-0.100990319
MEIS1,negative,-0.100990295
MCOLN3,UBASH3A,-0.100983373
BPGM,SLC6A9,-0.100982933
PLK4,RUNX1T1,-0.100981944
negative,TSC22D1,-0.100976112
ZBTB1,negative,-0.100970759
RUNX1T1,IRF1,-0.100950514
ARRDC3,negative,-0.100912446
CNNM4,negative,-0.100908453
ZBTB25,negative,-0.100894442
ETS2,BCORL1,-0.100834351
CSRNP1,BCL2L11,-0.100823886
GCH1,UBASH3B,-0.100792918
PTPN12,SGK1,-0.100790772
SET,SGK1,-0.100759268
BCR,BPGM,-0.100734319
EGR1,SLC38A2,-0.100728296
PEG10,TMSB4X,-0.100697818
IRF1,TBX3,-0.100695096
negative,BCL2L11,-0.100643435
negative,MAP4K5,-0.100635096
negative,BPGM,-0.100620746
NCL,MCOLN3,-0.100613767
SLC6A9,HK2,-0.100613653
MAP4K3,MCOLN3,-0.100586955
RUNX1T1,ZNF318,-0.10057703
FOXF1,negative,-0.10057352
MAML2,CEBPB,-0.100566257
PLEKHO2,negative,-0.100548236
MEIS1,ZBTB25,-0.100536485
MAP4K5,UBASH3B,-0.100528241
ZNF318,PTPN12,-0.100511829
KMT2A,PLK4,-0.100500017
negative,UBASH3B,-0.100481035
LYL1,FOXF1,-0.100443949
SLC38A2,TSC22D1,-0.10044076
PTPN12,TGFBR2,-0.100438581
negative,SET,-0.100430248
EGR1,CSRNP1,-0.100405074
BPGM,BCR,-0.100400111
GCH1,HK2,-0.100376381
CKS1B,TBX2,-0.100323541
CDKN1A,ZC3HAV1,-0.100322951
TSC22D1,LYL1,-0.100307105
RUNX1T1,SLC6A9,-0.100288205
MAP2K3,LHX1,-0.100272875
ZC3HAV1,LHX1,-0.100242589
UBASH3B,TBX2,-0.100229637
S1PR2,SLC6A9,-0.100218089
UBASH3A,PLK4,-0.100217747
TBX3,DLX2,-0.100215844
NCL,negative,-0.100168072
S1PR2,ELMSAN1,-0.100164256
PTPN9,PIK3CB,-0.10015759
BCORL1,CNN1,-0.100138306
PTPN12,MCOLN3,-0.100136377
MCOLN3,PEG10,-0.100131077
MAP4K5,negative,-0.100108812
ZNF318,KIF2C,-0.100107836
PTPN9,TMSB4X,-0.100094234
FOXL2,ZC3HAV1,-0.100085676
ZBTB1,OSR2,-0.100073383
BCL2L11,CSRNP1,-0.10005438
negative,ZBTB25,-0.100030347
MAPK1,PTPN9,-0.100028015
negative,BCORL1,-0.100012474
SGK1,NCL,-0.099997241
negative,PLEKHO2,-0.09999161
negative,NCL,-0.099951177
MAP4K3,PLK4,-0.09993513
BCR,C19orf26,-0.099927941
PTPN12,TMEM173,-0.099911111
negative,TSC22D1,-0.099910945
ELMSAN1,IRF1,-0.099901619
FOXL2,ELMSAN1,-0.099900172
PTPN12,TGFBR2,-0.099879966
ETS2,ELMSAN1,-0.099873142
SAMD1,MAP2K6,-0.099866631
MCOLN3,SLC6A9,-0.099853599
STIL,GCH1,-0.099852762
UBASH3B,TMEM173,-0.099827078
HK2,ZNF318,-0.099813481
EGR1,PIK3CB,-0.099785213
BCORL1,negative,-0.099779207
ARID1A,CSRNP1,-0.099766054
LYL1,negative,-0.099738894
negative,CBL,-0.099713208
BCL2L11,negative,-0.099708032
KMT2A,negative,-0.099693899
negative,ISL2,-0.099649292
MAP2K6,DLX2,-0.099638778
CNN1,BCORL1,-0.099634255
TGFBR2,PIK3CB,-0.099631903
MAPK1,NCL,-0.099622519
ZBTB25,negative,-0.099616775
ARRDC3,negative,-0.099592832
MAP4K5,negative,-0.099581022
CELF2,TSC22D1,-0.099576737
ZNF318,KMT2A,-0.099575908
TMSB4X,BCL2L11,-0.099575591
MAP7D1,CELF2,-0.099572272
ELMSAN1,CBL,-0.099564649
IRF1,KIF2C,-0.099558372
MAP2K6,CDKN1B,-0.099554775
ZNF318,MAP7D1,-0.099545028
TMEM173,PTPN9,-0.099537958
SLC38A2,LHX1,-0.099516578
UBASH3A,negative,-0.099503076
negative,HK2,-0.099485952
RUNX1T1,MCOLN3,-0.099475968
negative,EGR1,-0.099475253
ARRDC3,SGK1,-0.099473731
PEG10,SLC38A2,-0.09945742
KMT2A,MCOLN3,-0.099455461
MEIS1,SLC38A2,-0.099444997
HK2,negative,-0.099437267
MAP4K3,BCL2L11,-0.09942446
BCR,FOXL2,-0.099413571
LYL1,FOXL2,-0.099412539
CNN1,MAPK1,-0.099386131
TMEM173,UBASH3A,-0.099385939
CNN1,negative,-0.099381845
negative,BCR,-0.099362151
MAP4K5,MAPK1,-0.09935294
MAP7D1,TMEM173,-0.099348322
BCORL1,TGFBR2,-0.099346923
RUNX1T1,CNN1,-0.099330671
ZBTB25,MAP4K5,-0.099330117
MAP4K5,PTPN13,-0.09930091
CBFA2T3,CSRNP1,-0.099237241
FOSB,BCORL1,-0.099225169
NCL,negative,-0.099209393
UBASH3A,TMEM173,-0.099208477
POU3F2,CSRNP1,-0.099207395
LYL1,TMSB4X,-0.099206929
POU3F2,MAML2,-0.09919448
TBX2,MEIS1,-0.099194471
negative,UBASH3A,-0.099186729
NCL,CELF2,-0.099178781
negative,FOXA3,-0.09917185
ETS2,CNN1,-0.099161006
STIL,SGK1,-0.099158703
SLC6A9,negative,-0.099139934
PTPN12,TBX3,-0.099139473
TSC22D1,MAP2K3,-0.099117139
ZBTB25,GLB1L2,-0.099110394
UBASH3A,TMEM173,-0.099097315
NCL,RUNX1T1,-0.099066396
KIF2C,TBX3,-0.099063799
PTPN12,ZBTB25,-0.099035313
RUNX1T1,negative,-0.099022823
HK2,SGK1,-0.098950075
RUNX1T1,SGK1,-0.098948167
BCORL1,DLX2,-0.098905211
BCR,RUNX1T1,-0.098889279
RUNX1T1,ZNF318,-0.098866443
negative,S1PR2,-0.098844772
SLC38A2,PTPN9,-0.098843553
BCORL1,GLB1L2,-0.098821249
ZC3HAV1,IGDCC3,-0.098813549
TSC22D1,UBASH3A,-0.098812712
KIF2C,MAP7D1,-0.098809742
CBFA2T3,NCL,-0.09880435
LYL1,SGK1,-0.098791026
KMT2A,negative,-0.098780272
SLC38A2,UBASH3B,-0.098768759
MAP4K5,TMSB4X,-0.09876747
negative,STIL,-0.098760938
MAP2K6,POU3F2,-0.098753536
MAP4K5,negative,-0.098740866
UBASH3B,negative,-0.098738319
MCOLN3,ZBTB1,-0.098731819
negative,KMT2A,-0.098726339
CBL,SLC38A2,-0.098710342
SLC6A9,SLC6A9,-0.098705914
negative,BPGM,-0.098699763
negative,PTPN9,-0.098660193
NCL,TBX2,-0.098656582
MCOLN3,EGR1,-0.098640107
MAP7D1,PTPN13,-0.098613414
TMEM173,ARRDC3,-0.098592785
OSR2,SGK1,-0.098582956
BPGM,negative,-0.09857648
KIF2C,KMT2A,-0.09856866
KIF2C,OSR2,-0.0985537
negative,FOXF1,-0.098543621
OSR2,PIK3CB,-0.098540635
CITED1,MAPK1,-0.09852961
OSR2,ZBTB25,-0.098525847
GCH1,FOXL2,-0.098524893
ELMSAN1,KIF18B,-0.098508805
MAP4K5,BCORL1,-0.098505802
NCL,RUNX1T1,-0.098503914
negative,FOSB,-0.098496462
PLEKHO2,TBX2,-0.098476927
negative,KMT2A,-0.098454707
HK2,CITED1,-0.098444973
negative,HOXB9,-0.098421841
BCR,FOXF1,-0.098397362
CDKN1A,ZC3HAV1,-0.098388474
PTPN12,OSR2,-0.098375569
BPGM,negative,-0.098373108
LYL1,CNNM4,-0.098367851
MCOLN3,RUNX1T1,-0.098365632
OSR2,RUNX1T1,-0.098349389
ETS2,SLC6A9,-0.098347044
MAP4K5,SGK1,-0.098335896
ZC3HAV1,SLC4A1,-0.098305857
negative,HK2,-0.098305815
CNNM4,CELF2,-0.098302326
HK2,negative,-0.098291529
KIF2C,KIF2C,-0.09828828
FOSB,negative,-0.098277228
negative,HK2,-0.098275921
negative,PEG10,-0.098251151
GCH1,FOXF1,-0.098245586
ARRDC3,SLC6A9,-0.098207554
PTPN12,TMSB4X,-0.098202835
TSC22D1,BCL2L11,-0.09819816
TBX3,MAP4K3,-0.098167576
CLDN6,MAP2K6,-0.098161162
HK2,SLC6A9,-0.098154835
SLC6A9,TMEM173,-0.098149146
CITED1,LYL1,-0.098148834
RREB1,BCORL1,-0.098142224
TGFBR2,KIF2C,-0.098115925
TMEM173,HK2,-0.098111638
TGFBR2,LYL1,-0.098101666
GLB1L2,NCL,-0.098078089
MAP4K3,negative,-0.098073827
MAP2K6,RHOXF2B,-0.098070536
negative,ZBTB1,-0.098057418
TMEM173,MAP7D1,-0.098044286
UBASH3B,SLC38A2,-0.09804388
SAMD1,ZC3HAV1,-0.098031095
negative,LYL1,-0.098020073
BCR,FEV,-0.098006682
PEG10,ZBTB25,-0.098003287
negative,BPGM,-0.097996825
TBX3,KMT2A,-0.097972472
KMT2A,negative,-0.097961037
PLK4,HK2,-0.0979261
LYL1,negative,-0.097917604
CNN1,negative,-0.097907225
SET,GCH1,-0.097903854
TMSB4X,RUNX1T1,-0.097899853
negative,BPGM,-0.097894024
negative,TBX3,-0.09788623
C19orf26,negative,-0.097871151
CELF2,HK2,-0.097856742
PTPN12,ZNF318,-0.097844819
negative,UBASH3B,-0.097844552
UBASH3B,TMSB4X,-0.097814128
CBFA2T3,negative,-0.097811919
ZBTB25,TGFBR2,-0.097802775
BCL2L11,CSRNP1,-0.097787126
NCL,negative,-0.097756191
CDKN1B,SLC38A2,-0.097739121
TMEM173,CNN1,-0.097731017
UBASH3B,GCH1,-0.097696452
EGR1,GLB1L2,-0.097696053
TMSB4X,CNN1,-0.097694716
CEBPE,TBX3,-0.097676342
ELMSAN1,S1PR2,-0.097665238
TGFBR2,PTPN12,-0.097655658
MAP4K5,ZBTB25,-0.097653073
negative,OSR2,-0.097650137
ZBTB1,MAP2K6,-0.097645921
MAPK1,ZC3HAV1,-0.097637247
TMSB4X,BCORL1,-0.097627187
PTPN1,OSR2,-0.097612729
CNN1,CELF2,-0.097610421
RUNX1T1,PTPN13,-0.097603197
GCH1,ARRDC3,-0.097583885
negative,NCL,-0.097576899
KMT2A,negative,-0.097567624
PTPN13,HK2,-0.097567403
S1PR2,KLF1,-0.09755204
IRF1,MAML2,-0.097546011
BCORL1,EGR1,-0.097545223
MAP4K5,negative,-0.097525494
MAML2,LHX1,-0.097521141
TBX3,MAP7D1,-0.097508864
negative,PTPN9,-0.097475534
MAP7D1,GLB1L2,-0.097473168
negative,UBASH3B,-0.097454618
DLX2,BCORL1,-0.097442659
negative,UBASH3A,-0.097436614
CNN1,OSR2,-0.097405322
RREB1,LYL1,-0.097394376
ZBTB25,MEIS1,-0.097389629
MAP7D1,negative,-0.097382837
RUNX1T1,CEBPB,-0.097361762
LHX1,MAML2,-0.097354315
PTPN13,FOXF1,-0.097345052
S1PR2,ELMSAN1,-0.097330961
CELF2,CNNM4,-0.097310376
GCH1,CNN1,-0.097293511
TMEM173,RUNX1T1,-0.09726328
OSR2,negative,-0.097256443
negative,PLK4,-0.097241052
CELF2,UBASH3B,-0.097224408
BCR,GLB1L2,-0.097203294
BCR,S1PR2,-0.097194737
TGFBR2,ETS2,-0.097194183
C19orf26,KIF2C,-0.097179113
ZNF318,MAP7D1,-0.097160244
ZC3HAV1,CEBPE,-0.097139932
MCOLN3,NCL,-0.097129021
STIL,MAP2K3,-0.097113654
MEIS1,ZBTB25,-0.097102746
DLX2,TBX2,-0.097092984
UBASH3A,negative,-0.097086055
MAML2,ARID1A,-0.097083491
ETS2,negative,-0.097072923
SLC6A9,HK2,-0.097025024
MCOLN3,TGFBR2,-0.097010474
PTPN12,LYL1,-0.096984044
TBX3,CLDN6,-0.096962621
CSRNP1,CDKN1B,-0.096960348
negative,MEIS1,-0.096952661
KIF2C,UBASH3A,-0.096940322
ZNF318,PTPN12,-0.096932369
PEG10,BCORL1,-0.096908022
negative,BCL2L11,-0.096892735
CEBPB,SGK1,-0.096866924
MAP7D1,SGK1,-0.096845794
RUNX1T1,TMSB4X,-0.096840191
negative,CNN1,-0.096838029
TSC22D1,ZBTB25,-0.096817577
PEG10,BCR,-0.096799272
RUNX1T1,KIF2C,-0.096795641
MAP4K3,TMSB4X,-0.096779318
TMSB4X,ZBTB1,-0.096758893
negative,MAP4K5,-0.096758355
MAPK1,UBASH3A,-0.096757967
CNNM4,negative,-0.096741375
negative,ZNF318,-0.096720077
BCORL1,ELMSAN1,-0.096709319
BCR,STIL,-0.096704749
negative,CBL,-0.096701564
KMT2A,TMEM173,-0.096668357
CBL,negative,-0.09666407
MCOLN3,UBASH3A,-0.096660167
UBASH3A,KIF2C,-0.096648135
MCOLN3,EGR1,-0.096631004
negative,NCL,-0.096630071
SLC38A2,LYL1,-0.096615926
MAPK1,C19orf26,-0.096592238
PTPN13,S1PR2,-0.096566227
MAP4K5,negative,-0.096544729
negative,BCORL1,-0.096521726
PTPN12,KMT2A,-0.096505045
MAP7D1,GCH1,-0.09647627
negative,NCL,-0.096475381
UBASH3B,MAPK1,-0.096464322
CSRNP1,PTPN13,-0.096453252
negative,SET,-0.096369333
LYL1,PTPN13,-0.096363395
CNN1,SLC6A9,-0.096356149
BCORL1,HOXB9,-0.096355917
SLC38A2,C19orf26,-0.096354576
KLF1,HOXC13,-0.096350519
BCORL1,NCL,-0.096344332
negative,MAP4K5,-0.096335157
TMSB4X,HOXB9,-0.096323029
LYL1,MAPK1,-0.096310035
ETS2,ELMSAN1,-0.096301316
ARRDC3,GCH1,-0.096273198
negative,FOXF1,-0.09625626
ISL2,SLC38A2,-0.096241867
LYL1,MAP7D1,-0.096241325
RUNX1T1,GLB1L2,-0.09622636
TBX2,CNNM4,-0.096223931
SLC38A2,CDKN1B,-0.096222054
BCL2L11,GCH1,-0.096214432
negative,CBL,-0.09619889
PTPN12,RREB1,-0.096185303
MAP7D1,TMSB4X,-0.096171987
UBASH3B,negative,-0.096171964
KMT2A,PIK3CB,-0.096170326
RUNX1T1,HOXB9,-0.096162586
HK2,HK2,-0.096137219
negative,STIL,-0.09612368
SLC38A2,BCORL1,-0.096118052
C19orf26,MAML2,-0.096110251
CNN1,negative,-0.096093761
SAMD1,MAP2K6,-0.096090457
MAP2K6,ISL2,-0.096082676
BCL2L11,SLC38A2,-0.096077205
negative,MEIS1,-0.096069019
TBX2,TMSB4X,-0.096040086
MEIS1,BCR,-0.096028086
S1PR2,LYL1,-0.096026561
PTPN9,TMEM173,-0.096010623
CDKN1B,ZC3HAV1,-0.095996793
TBX2,UBASH3B,-0.095967605
ARID1A,MAP2K3,-0.095955929
SLC6A9,UBASH3A,-0.095923403
RUNX1T1,IRF1,-0.095915059
MEIS1,TBX3,-0.095905933
FOSB,ELMSAN1,-0.095896263
ZC3HAV1,HNF4A,-0.095877001
UBASH3B,negative,-0.095876147
PLK4,BCL2L11,-0.095872652
ELMSAN1,POU3F2,-0.095857307
CSRNP1,RHOXF2B,-0.095849931
MCOLN3,LYL1,-0.095826022
TMSB4X,ZNF318,-0.095824511
MAP2K3,BCL2L11,-0.095821935
MEIS1,ELMSAN1,-0.095818591
ZC3HAV1,SPI1,-0.095818156
negative,LYL1,-0.095804276
FOXA1,CSRNP1,-0.095790685
ZBTB1,GCH1,-0.09578139
MCOLN3,MAP7D1,-0.095781048
SLC38A2,RREB1,-0.095776904
ZNF318,PTPN9,-0.095774253
negative,CBL,-0.095768593
TMSB4X,KIF2C,-0.095728569
TMEM173,KMT2A,-0.095720397
RUNX1T1,MAP4K5,-0.095706723
TMEM173,EGR1,-0.095695441
negative,UBASH3B,-0.095672321
PLK4,ZBTB1,-0.095665215
negative,CNNM4,-0.095659305
MAP2K3,HK2,-0.095656197
S1PR2,BCORL1,-0.09564484
CBL,negative,-0.095619932
SLC6A9,ZNF318,-0.095585665
negative,STIL,-0.095521409
CBL,CELF2,-0.095520993
MAML2,FOSB,-0.095515554
ARRDC3,negative,-0.095513548
ELMSAN1,SGK1,-0.095500836
BCORL1,RUNX1T1,-0.095493428
ELMSAN1,POU3F2,-0.095483365
SLC6A9,MCOLN3,-0.095453937
CSRNP1,BCL2L11,-0.095450733
MAPK1,KLF1,-0.09544821
NCL,TMSB4X,-0.095437226
SGK1,MAML2,-0.095413512
SGK1,MAP4K3,-0.095402791
negative,CEBPB,-0.095357907
BCL2L11,TMEM173,-0.095356998
BCORL1,BCL2L11,-0.095306753
CNN1,negative,-0.095281029
NCL,negative,-0.095278383
LYL1,CELF2,-0.095256286
negative,PEG10,-0.095244131
ARRDC3,TBX2,-0.095228313
negative,UBASH3B,-0.09520442
negative,KMT2A,-0.095189905
UBASH3B,negative,-0.095162717
ZBTB1,negative,-0.095161581
negative,KMT2A,-0.095159526
TSC22D1,KMT2A,-0.095154411
TMEM173,BCL2L11,-0.095151034
LYL1,MCOLN3,-0.095146002
FOXA3,BCORL1,-0.095109696
negative,ZNF318,-0.095103574
GCH1,ETS2,-0.095093413
TSC22D1,TMEM173,-0.095064135
PLK4,RUNX1T1,-0.095062935
ZNF318,ZBTB25,-0.095039652
SLC6A9,HOXB9,-0.095025837
RUNX1T1,MAP4K5,-0.095020563
CNNM4,negative,-0.095013441
CDKN1A,MAP2K6,-0.094976558
ELMSAN1,KIAA1804,-0.09496147
negative,HOXB9,-0.094862787
negative,MAP7D1,-0.094852669
TBX3,C19orf26,-0.094848679
negative,BPGM,-0.094833487
ELMSAN1,ETS2,-0.094784228
MAML2,PLK4,-0.094783084
OSR2,negative,-0.094779356
SGK1,UBASH3A,-0.094776091
TGFBR2,PLK4,-0.09475768
SLC6A9,TSC22D1,-0.094754783
MAPK1,ZBTB1,-0.094724115
MAP2K6,S1PR2,-0.0946866
SLC6A9,IRF1,-0.094682724
PTPN12,negative,-0.094680637
TBX2,BCORL1,-0.094669875
MCOLN3,RUNX1T1,-0.094653222
CELF2,PTPN13,-0.094646893
negative,C19orf26,-0.094636198
TMSB4X,MAP4K3,-0.094619613
MAP4K5,negative,-0.094563922
ZNF318,MCOLN3,-0.094563194
MAP4K5,SLC6A9,-0.094545757
MAML2,POU3F2,-0.094544454
GLB1L2,negative,-0.094504591
LYL1,PLK4,-0.094504558
TBX2,CNN1,-0.094492188
PIK3CB,KMT2A,-0.094464112
TSC22D1,negative,-0.094452729
HK2,negative,-0.094450242
SLC6A9,KIF2C,-0.094444565
PTPN12,GCH1,-0.094431811
CELF2,BPGM,-0.094428672
ZBTB1,negative,-0.094420977
HK2,negative,-0.094402777
TMEM173,MEIS1,-0.094399118
MCOLN3,C19orf26,-0.094397345
negative,RUNX1T1,-0.094375599
KMT2A,MAP4K5,-0.094374742
TMSB4X,FOXA3,-0.094354515
RUNX1T1,RUNX1T1,-0.094335552
negative,ISL2,-0.094332984
PTPN12,TMEM173,-0.094327452
negative,FOXF1,-0.094313698
negative,CNN1,-0.094268503
FOSB,ZBTB25,-0.094222159
LYL1,ETS2,-0.094166142
UBASH3B,negative,-0.094161732
SLC6A9,C19orf26,-0.094159042
GCH1,KMT2A,-0.094157546
DLX2,CELF2,-0.094151496
PTPN12,PLK4,-0.094135668
LYL1,KIF2C,-0.094116225
negative,PTPN9,-0.09411515
MAPK1,UBASH3A,-0.094106803
SLC6A9,ZBTB1,-0.094083109
SLC6A9,TBX3,-0.094078278
negative,NCL,-0.094057433
TMSB4X,BCORL1,-0.094050289
PEG10,TBX2,-0.094042394
SLC6A9,IRF1,-0.094018603
negative,TSC22D1,-0.093972037
negative,ARRDC3,-0.093961288
ZBTB25,PTPN13,-0.093941404
KIF2C,MAPK1,-0.093927569
negative,CNN1,-0.09392181
negative,NCL,-0.093896091
RUNX1T1,BCORL1,-0.093874221
negative,UBASH3B,-0.093862929
TSC22D1,negative,-0.093858748
RUNX1T1,TGFBR2,-0.093847858
TMSB4X,MAP7D1,-0.093846888
negative,ZBTB25,-0.093837834
TBX3,UBASH3A,-0.093822631
KIF2C,CNN1,-0.093821946
UBASH3A,negative,-0.093821354
negative,PTPN9,-0.093812047
PTPN9,MCOLN3,-0.093790103
MAP7D1,negative,-0.093786755
