gene1,gene2,score
PRTG,PTPN1,-0.699302498
HOXA13,RHOXF2B,-0.699248059
C3orf72,FOXA3,-0.699170658
SPI1,ARID1A,-0.699131799
DUSP9,CBL,-0.699076973
ATL1,SNAI1,-0.699036311
NIT1,DLX2,-0.699016695
S1PR2,HOXA13,-0.698974899
HK2,NIT1,-0.698855433
BAK1,ZBTB10,-0.698684113
C3orf72,KIAA1804,-0.698659086
TGFBR2,IKZF3,-0.69837946
HOXA13,DUSP9,-0.698328329
TGFBR2,HOXA13,-0.698259406
HOXA13,MAP7D1,-0.69822914
NCL,ATL1,-0.697970702
CEBPA,C3orf72,-0.697929985
JUN,IGDCC3,-0.697711838
NIT1,IGDCC3,-0.697650585
ZBTB10,PRDM1,-0.697599925
CEBPE,LHX1,-0.697490087
TP73,PTPN9,-0.69743017
CBFA2T3,CEBPA,-0.697423765
TP73,CNN1,-0.697379279
SLC4A1,PRDM1,-0.697169262
FOXA1,C3orf72,-0.697038007
HOXB9,ATL1,-0.696930163
IKZF3,CBL,-0.696901193
PRTG,STIL,-0.696892806
SLC38A2,HOXA13,-0.696627647
TMEM173,C3orf72,-0.69641343
SPI1,CLDN6,-0.69639708
HOXC13,FOXL2,-0.696018086
CEBPA,COL1A1,-0.696006944
CEBPA,HOXC13,-0.695978957
C3orf72,SLC4A1,-0.695872251
C3orf72,LHX1,-0.69582735
CEBPB,DUSP9,-0.695784432
CNNM4,C3orf72,-0.695711182
MAP2K6,HOXA13,-0.695504198
IKZF3,SET,-0.695377192
FOXO4,NIT1,-0.695338378
KIAA1804,TP73,-0.695312099
KIAA1804,JUN,-0.695234524
C3orf72,CITED1,-0.695203005
STIL,CEBPA,-0.695163529
PTPN13,ATL1,-0.694969475
HOXA13,BAK1,-0.694830021
HOXA13,CNNM4,-0.694751751
SPI1,SPI1,-0.694749437
NCL,PRTG,-0.694483339
PRDM1,CLDN6,-0.694328451
NIT1,HES7,-0.694311487
CEBPE,HES7,-0.694296443
MIDN,COL2A1,-0.694104957
MAP7D1,PRTG,-0.694043134
RHOXF2B,POU3F2,-0.693971262
CEBPE,IER5L,-0.693812628
TP73,CEBPB,-0.693787965
CEBPB,ARID1A,-0.693511435
NCL,C3orf72,-0.693486767
PRTG,HOXA13,-0.693081413
IKZF3,SLC4A1,-0.693080017
IER5L,AHR,-0.6928923
DLX2,ZBTB10,-0.69282096
SPI1,CEBPA,-0.692557835
C3orf72,HES7,-0.692348913
C3orf72,LHX1,-0.692179895
DUSP9,PRDM1,-0.692171016
CNN1,IKZF3,-0.692060006
PRDM1,C3orf72,-0.691990181
HOXC13,ZNF318,-0.691781168
KMT2A,NIT1,-0.691720054
PTPN13,NIT1,-0.691709174
NIT1,LHX1,-0.69150074
ZBTB10,ATL1,-0.691441832
SPI1,PTPN13,-0.691436164
DUSP9,PRDM1,-0.691199036
C3orf72,CEBPE,-0.691190319
GLB1L2,HOXA13,-0.691178234
SLC4A1,ATL1,-0.691114168
HK2,IKZF3,-0.691064531
CEBPE,KIAA1804,-0.690906353
PRDM1,C3orf72,-0.690750664
C3orf72,HOXB9,-0.690750595
HOXA13,FOSB,-0.690734787
MAP7D1,HOXA13,-0.690718787
CEBPA,FOXA3,-0.690663177
CEBPE,PRDM1,-0.690632572
IER5L,HOXC13,-0.690609283
C3orf72,NIT1,-0.690600793
NIT1,SET,-0.69046788
ZBTB10,SAMD1,-0.690459845
SPI1,CEBPE,-0.690418228
CEBPB,CEBPE,-0.690377921
CLDN6,C3orf72,-0.690304728
HOXA13,NIT1,-0.690172818
CEBPA,TSC22D1,-0.68992914
OSR2,CEBPA,-0.68991958
STIL,NIT1,-0.689887715
HOXA13,HOXC13,-0.689826177
CEBPA,SPI1,-0.689799503
ISL2,FOXA3,-0.689798615
DUSP9,NIT1,-0.689661104
NIT1,CEBPA,-0.689585089
CEBPA,CITED1,-0.689549356
HOXC13,IER5L,-0.689362963
HOXA13,CLDN6,-0.689350293
C3orf72,IKZF3,-0.688981777
