id1,id2,score
BCORL1,DLX2,2.557023576
CDKN1A,S1PR2,2.555968852
PEG10,ZBTB25,2.551637224
BCL2L11,MAP4K3,2.545948202
SLC6A9,TBX2,2.545901783
IER5L,IRF1,2.543464242
IER5L,LHX1,2.542942203
SAMD1,SNAI1,2.541200933
KMT2A,PRTG,2.5411461
ARRDC3,COL2A1,2.54025056
CLDN6,FEV,2.540031965
LYL1,PTPN13,2.532333369
FOXO4,SAMD1,2.531979864
KIF18B,TP73,2.528271412
CBARP,TP73,2.528096114
PLK4,PTPN12,2.526627161
IRF1,RHOXF2B,2.523095158
ETS2,TBX2,2.519142397
CEBPB,CSRNP1,2.515016905
LYL1,PLK4,2.514080306
IGDCC3,MAP2K6,2.512039447
CDKN1A,ZBTB1,2.510533304
IRF1,RUNX1T1,2.508445049
CNNM4,COL2A1,2.50629409
BAK1,TP73,2.505541298
RREB1,SLC6A9,2.493558406
SPI1,TBX2,2.488979374
CSRNP1,HOXA13,2.487247649
LYL1,LYL1,2.486161608
CBL,MAPK1,2.48448504
OSR2,TBX2,2.483680342
CDKN1A,COL1A1,2.480917866
BCL2L11,BCR,2.476405819
IKZF3,MAML2,2.472071792
CSRNP1,LHX1,2.471964701
BCR,HK2,2.468388772
CDKN1C,MEIS1,2.468238628
CBL,S1PR2,2.467742954
HNF4A,LYL1,2.465672636
BCORL1,HOXA13,2.465467948
RHOXF2B,RUNX1T1,2.462587217
BCL2L11,CKS1B,2.461301833
COL2A1,TGFBR2,2.461095408
NIT1,SLC6A9,2.459287313
CELF2,LYL1,2.45799687
COL1A1,TSC22D1,2.455003465
BCL2L11,S1PR2,2.447016467
CDKN1A,HNF4A,2.44590682
MAP2K3,NIT1,2.445592457
BCORL1,FOSB,2.435244951
CNN1,MAP7D1,2.433731715
HOXC13,HOXC13,2.425162942
MAP2K3,PRTG,2.415966923
CNNM4,NIT1,2.415324439
BCL2L11,FEV,2.412300553
DLX2,IER5L,2.406690494
FOSB,ZBTB1,2.403414825
SAMD1,SET,2.402205223
ARID1A,BCL2L11,2.401435332
HES7,MAP7D1,2.399948356
CDKN1B,COL1A1,2.398970061
SGK1,SLC6A9,2.396967566
BCORL1,CNN1,2.395623825
FOXL2,MAP2K3,2.391674785
HNF4A,S1PR2,2.386115477
ARID1A,OSR2,2.385048737
ELMSAN1,MAP4K5,2.384152748
BCL2L11,FOXA3,2.383808757
ARID1A,IRF1,2.383477841
ELMSAN1,HK2,2.380468726
CELF2,HK2,2.379714329
FOXL2,TGFBR2,2.374680618
CDKN1C,NIT1,2.371457042
S1PR2,STIL,2.368340351
CSRNP1,MEIS1,2.367134546
PTPN1,RREB1,2.367085448
HK2,SPI1,2.366607239
BPGM,FOXF1,2.366323061
BPGM,PLK4,2.365558036
ETS2,MLK4,2.362435986
BPGM,KIF18B,2.358209436
HK2,RREB1,2.356305395
CDKN1C,CNNM4,2.354036765
BCR,IGDCC3,2.353992119
CEBPB,SGK1,2.353811368
FOSB,FOXO4,2.352410402
NCL,STIL,2.347656158
FOXA3,SLC6A9,2.346318882
ARRDC3,HOXC13,2.341798258
CBL,MAP2K3,2.341009489
EGR1,SLC38A2,2.34082373
CLDN6,TBX2,2.339666175
CITED1,LYL1,2.335166832
IRF1,SLC38A2,2.334797604
HOXA13,MAP2K3,2.331025144
FOSB,NIT1,2.326867481
CDKN1A,DLX2,2.323364725
NCL,NIT1,2.323340536
FOXL2,PTPN9,2.311363741
CBFA2T3,DUSP9,2.308799207
ARRDC3,SLC6A9,2.306405697
CLDN6,MAP2K6,2.304140974
BCORL1,FOXA3,2.303712683
CDKN1C,PTPN13,2.30194863
COL1A1,MAP7D1,2.298716093
CITED1,SAMD1,2.297023803
BAK1,KMT2A,2.296905793
MLK4,TSC22D1,2.29678979
SLC6A9,ZBTB10,2.296779647
BCR,LYL1,2.292820536
CDKN1A,UBASH3B,2.285774311
MAP2K3,MEIS1,2.284068828
FEV,RREB1,2.283868202
PTPN13,SLC6A9,2.282182344
ELMSAN1,PRTG,2.281465066
MAP7D1,ZBTB1,2.280445329
PEG10,TSC22D1,2.280163445
CKS1B,MAP7D1,2.279519274
BCL2L11,ZBTB10,2.278796105
MAP2K6,PRDM1,2.277276969
MAPK1,SAMD1,2.27707614
PLEKHO2,S1PR2,2.274870373
RHOXF2B,TMSB4X,2.274663496
RREB1,SAMD1,2.266189217
IRF1,ZBTB10,2.262446983
FOSB,UBASH3A,2.25957559
KIF2C,SAMD1,2.258726936
CNN1,TMSB4X,2.258719432
DLX2,TSC22D1,2.257848449
CBARP,HNF4A,2.256887565
MAP4K5,UBASH3A,2.255773565
MAP7D1,PTPN12,2.255565984
CDKN1C,ISL2,2.246849582
DUSP9,KMT2A,2.245305671
MLK4,KIF18B,2.243963921
ARID1A,IGDCC3,2.242689955
MAP2K6,SLC4A1,2.24167251
CDKN1B,SNAI1,2.241536068
CBL,TMSB4X,2.241409174
FOXA1,HK2,2.240866012
FOXA3,ZBTB25,2.238322653
BCORL1,COL1A1,2.236059405
DLX2,UBASH3A,2.234188666
CDKN1C,RUNX1T1,2.233196991
BPGM,CEBPB,2.233120451
ARRDC3,MAML2,2.232560351
ARID1A,HOXC13,2.228323115
FOXA3,IRF1,2.226547567
MAP7D1,RREB1,2.226110166
COL1A1,PEG10,2.221645609
CNNM4,CSRNP1,2.219581028
HOXB9,PTPN12,2.219293975
FOXF1,MAML2,2.216221679
ISL2,KLF1,2.215847781
CKS1B,OSR2,2.214276354
CDKN1C,MAP4K3,2.21178427
SNAI1,ZBTB25,2.210860602
HK2,ZNF318,2.210185342
BPGM,EGR1,2.209133901
MAPK1,ZBTB25,2.208565157
COL1A1,SLC38A2,2.206707258
CDKN1C,DLX2,2.200401209
ELMSAN1,SGK1,2.197992941
BCR,BPGM,2.191566815
CELF2,CNN1,2.189903118
CDKN1A,KIF18B,2.187469499
CBL,CITED1,2.18374085
DUSP9,RUNX1T1,2.183115226
CNNM4,RUNX1T1,2.182770649
FOXO4,MAPK1,2.176478852
CBARP,CDKN1B,2.175190891
CELF2,SAMD1,2.17440904
